aal ale
kamin chimney
kamine chimneys
kaminplatte mantelpiece
kamm comb
kammer chamber
kampf campaigns
kanada canada
kanaele canals
kanal canal
kanalisation sewerage
kanalisationen sewerages
kandidaten candidates
kandis candy
kaninchen rabbit
kanne tankard
kannen tankards
kannibale cannibal
kannibalen cannibals
kanone cannon
kanonen cannons
kantine canteen
kantinen canteens
kapazitaet capacity
kapelle chapel
kapellen chapels
kapellmeister bandmaster
kapern capers
kapitaen captain
kapitel chapters
kappe cap
kapriole caper
kapsel capsule
kapseln capsules
karikatur caricature
karikaturen cartoons
karneval carnival
karomuster chequers
karpfen carp
karre barrow
karte card
karten cards
karten-Nr. cardnumber
kartoffel potato
kartoffeln potatoes
karton cardboard
kartons cartons
kaserne barracks
kassette cartridge
kassetten caskets
kassierer cashier
kastanien chestnuts
kasten chest
katalog catalog
kataloge catalogues
katalogisierung cataloging
kategorie category
kategorieen categories
katze cat
katzen cats
kauderwelsch gibberish
kaufen buying
kaufleute merchants
kaufmann merchant
kaulquappe tadpole
kaulquappen tadpoles
kaution bail
kauz codger
kegel cone
kegeln ninepins
kehle gorge
kehlen goals
kehlkopf larynx
keks biscuit
kekse biscuits
kelch chalice
kelche chalices
kelle dipper
kellen dippers
keller cellar
kellner butlers
kellnerin waitress
kellnerinnen waitresses
kenner connoisseur
kenntnis knowledge
kennzeichen badges
kerbe dent
kerker dungeon
kerl guy
kerle guys
kern core
kern- nuclear
kerne cores
kernpunkt nub
kernpunkte quintessences
kernstuecke nubs
kerze candle
kerzen candles
kessel boiler
kette catena
ketzerei heresy
keuschheit chastity
kibitz kibitzer
kibitze kibitzers
kiefer jaw
kiefern pines
kiel keel
kieme gill
kiemen gills
kies gravel
kieselstein pebble
kieselsteine pebbles
kind child
kinder children
kindermaedchen nannies
kinderzimmer nurseries
kindheit childhood
kindheiten infancies
kinn chin
kino cinema
kinos cinemas
kirche church
kirchen churches
kirchhoefe churchyards
kirchhof churchyard
kirchtuerme steeples
kirchturm steeple
kirsche cherry
kirschen cherries
kissen cushion
kisten chests
klaeger plaintiff
klaerung clarification
klaerungen clearances
klage lament
klagen complaints
klammer brace
klammern braces
klapperschlange rattlesnake
klapperschlangen rattlesnakes
klaps dab
klapse dabs
klarheit clarity
klarheiten clarities
klasse class
klassen classes
klatschbase telltale
klatschbasen telltales
klaue claw
klauen claws
klavier piano
klaviere pianos
klecks blot
kleckse blots
klee trefoil
kleeblaetter shamrocks
kleeblatt shamrock
kleid dress
kleider clothes
kleiderschrank wardrobe
kleidung clothing
kleie bran
kleinigkeit trifle
kleinschrift lowercase
kleinstcomputer minicomputer
kleinverkauf retail
klempner plumber
klick click
klima climate
klinge blade
klingel bell
klingeln bells
klinker clinker
kloester monasteries
kloetze chumps
klopfer beater
kloster monastry
klotz chump
kluempchen clot
klugheit cleverness
klumpen clump
knabe boy
knall bang
knastbruder jailbird
knastbrueder jailbirds
knechte menials
kneifzange pincers
kneipe pub
kneipen pubs
knie knee
kniehosen breeches
kniff knack
knirps tot
knirpse tots
knoblauch garlic
knochen bone
knoechel ankle
knoepfe knobs
knolle bulb
knollen tubers
knopf button
knorpel cartilage
knospe bud
knoten kink
knoten- nodal
knueppel bludgeon
kobold elf
kobolde elfs
kocher boiler
kochnische kitchenette
kochplatte boilerplate
kochtoepfe saucepans
kochtopf saucepan
koeder bait
koenig king
koenige kings
koenigin queen
koenigreich kingdom
koenigreiche kingdoms
koepfe heads
koerbe baskets
koernchen granule
koerner grains
koerper bodies
koerperbau physique
koerperschaft corporation
koeter tyke
koffer bag
kohl cabbage
kohle coal
kohlen coals
koje bunk
kojen bunks
kokospalme coco
kolben piston
kolben- reciproating
kolibri hummingbird
kolik colic
koliken colics
kollege colleague
kollegen colleagues
koller tantrum
kollision collision
kollisionen collisions
kolonialwarenhaendler grocer
kolonie colony
kombination combination
kombinationen combinations
kombuese caboose
kombuesen cabooses
komfort comfort
komission comission
komissionen comissions
komma comma
kommata commas
kommentar commentary
kommentare comments
kommunikation communication
kommunikationen communications
kommunismus communism
komoedie comedy
komoedien comedies
kompaktheit compactness
kompass compass
kompatibilitaet compatibility
kompensation compensation
komplikation complication
kompliment compliment
komplize accomplice
komplizen accomplices
komponente component
komponenten components
kompression compression
kompressor compressor
kompromiss compromise
konfekt confection
konferenz conference
konferenzen conferences
konfiguration configuaration
konfigurationen configurations
konflikt conflict
konkurrent competitor
konkurrenten competitors
konkurs bankruptcy
konkurse bankruptcies
konsequent consequential
konsequenz consequence
konsole bracket
konstruiert constructs
konstruktion construction
kontakt contact
kontinente continents
kontrast contrast
konvention convention
konventionen conventions
konverter converter
konzept concept
konzepte concepts
konzert concert
konzerte concerts
koordinate coordinate
koordinaten coordinates
koordination coordination
kopf pate
kopfkissen pillow
kopfnuesse clouts
kopfnuss clout
kopfschmerz headache
kopfschmerzen headache
kopfzeile headline
kopien copies
koppler coupler
koralle coral
korallen corals
korb basket
korn grain
korrektur correction
korrekturen corrections
korrespondenz correspondence
kost food
kostbarkeit costliness
kostbarkeiten costlinesses
kosten expense
kot excrement
kotelett chop
koteletts chops
kotfluegel mudguard
kotletts cutlets
krabbe shrimp
krabben crab
kraefte strengths
kraemer chandler
kraempfe cramps
kraenkung mortification
kraenkungen mortifications
kraeuter herbs
kraft force
kraftfahrzeug autocar
kraftfahrzeuge autocars
kragen collar
kralle talon
krallen talons
krampf cramp
krampfader varicose
krampfadern varicoses
kran crane
kranich crane
kraniche cranes
krankenhaeuser hospitals
krankenhaus hospital
krankheit disease
krankheiten diseases
kranz annulus
kraut herb
krawate tie
krawatte necktie
krebs cancer
kreide chalk
kreis circle
kreise circles
kreisel- centrifugal
kreislaeufe circuits
kreislauf circuitry
kreisprozess cycle
kreml kremlin
kreuz cross
kreuzungen hybrids
kreuzwort crossword
kriecher creeper
kriecherei servility
kriechereien servilities
krieg war
kriege wars
krieger warrior
krippe manger
krippen mangers
krise crises
kriterium criterion
kritik criticism
kritiker censors
kroenung coronation
kroenungen coronations
kroete toad
kroeten toads
krone crown
kronen crowns
kronleuchter lustres
kruege jars
kruemel crumb
kruemmung crook
kruemmungen curvatures
krueppel cripple
krug jar
kruste crust
krusten crusts
kuchen cake
kuckuck cuckoo
kuebel tub
kueche cuisine
kuechen cuisines
kuegelchen pellet
kuehe cows
kuehle coolness
kuehlmittel coolant
kuehlschraenke fridges
kuehlschrank refrigerator
kuehlung cooling
kuehnheit hardihood
kueken chicken
kuenste arts
kuenstler artist
kuerbis pumpkin
kuerbisse gourds
kuerze brevity
kuerzung abridgement
kuerzungen abridgements
kueste coast
kuesten coasts
kuester sexton
kugel ball
kugeln bullets
kuh cow
kummer grief
kunde client
kunden clients
kundgebung manifestation
kundgebungen manifestations
kundschaft clientele
kunst art
kunstgriff artifice
kunstseide rayon
kunststoff plastics
kupfer copper
kuppel dome
kuppeln domes
kuppler pimp
kurbelgehaeuse crankcase
kurbelwange crankweb
kurbelzapfen crankpin
kursiv cursive
kursivschrift italic
kurve bend
kurven curves
kurzwaren haberdashery
kurzwelle shortwave
kuss kiss
kutsche coach
kutschen coaches
kutte cowl
kutten cowls
labyrinth maze
labyrinthe mazes
lachen laughter
lachs salmon
lachse salmons
ladeluftkuehlung intercooling
laden downloading
ladentisch counter
ladeprogramm loader
ladungen cargos
laecheln smile
laeger storehouses
laehmung palsy
laemmer lambs
laender countries
laenge footage
laengen longitudes
laerche larches
laerm din
laetzchen bib
laeufer runner
laeuse lice
lage site
lager bearing
lagerhaus warehouse
lagerung storage
lakritz licorice
lametta tinsel
lamm lamb
lampe lamp
lampen lamps
lampenschirm lampshade
lampenschirme lampshades
land country
landesgrenze frontier
landkarte map
landschaft landscape
landschaften landscapes
landstreicher tramp
landung landing
landwirt farmer
landwirtschaft husbandry
langeweile boredom
langlebigkeit longevity
langschrift longhand
lanze lance
lappen lobe
larve larva
larven larvas
laser laser
lasso lariat
lassos lariats
last burden
lasten encumbrances
lastwagen lorries
laterne lantern
laternen lanterns
latte lath
latten laths
laub foliage
laube bower
lauben bowers
lauch leeks
lauf course
lauffeuer wildfire
laufring race
laufwerk drive
laufwerke drives
laufzeit milage
laufzeiten milages
laune caprice
launen caprices
laus louse
laute lute
lauten lutes
lautstaerke loudness
lavendel lavender
layout layout
layouts layouts
leben life
lebensalter age
lebenserwartung lifespan
lebensmittel provisions
lebensmittelgeschaeft grocery
lebensmittelgeschaefte groceries
lebensmittelhaendler grocer
lebenszeit lifetime
leber liver
lebhaftigkeit liveliness
lebhaftigkeiten vivacities
lebkuchen gingerbread
lebzeiten lifetimes
leck leak
lecken leakages
leckerbissen delicacies
leder buff
leere emptiness
leerfelder spaces
leerlauf idle
leerstelle blankspace
leertaste spacebar
leerzeichen blanks
legenden fables
lehm clay
lehnstuehle armchairs
lehnstuhl armchair
lehre apprenticeship
lehren doctrines
lehrer teachers
lehrerin schoolmistress
lehrfach subject
lehrling apprentice
lehrlinge apprentices
leib body
leibschmerzen stomach-ache
leibwaechter bodyguard
leichenhalle mortuary
leichenhallen mortuaries
leichenschauhaus morgue
leichentuch shroud
leichentuecher shrouds
leichenwagen hearse
leichtfertigkeiten levities
leichtigkeit facility
leichtigkeiten facilities
leichtsinn flippancy
leid harm
leiden ailment
leidenschaft passion
leidenschaften passions
leidtragende mourners
leidtragender mourner
leihe loan
leihen loans
leihhaeuser pawnshops
leihhaus pawnshop
leim glue
leinen linen
leiste ledge
leisten ledges
leistungsaufnahme input
leistungsverhalten performance
leistungsvermoegen capacities
leiter ladder
leiterin managress
leitfaden textbook
leitfaeden textbooks
leitlinien guidelines
leitung conduction
leitungen conductions
leitungsnetz mains
lektion lesson
lektionen lessons
lektuere lecture
lende loin
lerche skylark
lerchen skylarks
lesbarkeit legibility
leser reader
leuchter candlestick
leugnen denial
leute folk
licht light
lichtung glade
lichtungen glades
lid lid
lider lids
liebe love
liebling darling
lieblinge pets
lied song
lieder ballads
lieferant supplier
lieferanten suppliers
lieferung delivery
liga league
lightpens lightpens
lilie lilly
lilien lillies
limonade lemonade
limousine sedan
limousinen sedans
linderungsmittel palliative
linie line
linienfahrzeug liner
linse lens
linsen lenses
lippe lip
lippen lips
lippenstift lipstick
lippenstifte lipsticks
liqidationen liquidations
liste list
listen wiles
listings listings
liter litre
literatur literature
lizenz liscense
lizenzen licenses
lizenzgeber licensor
lizenznehmer licensee
lob praise
loch hole
locke curl
locken curls
loecher holes
loeffel spoon
loeschen erasure
loescher blotter
loesung lotion
loesungen lotions
loesungsmittel solvent
loewe lion
loewen lions
loewin lioness
logos logos
lohnempfaenger wage-earner
londoner cockney
lorbeer laurel
losung watchword
losungen watchwords
lot plummet
luchs lynx
luchse lynxes
luecke gap
luecken gaps
luefter fan
luege lie
luegner liar
luemmel boor
luester chandelier
luestling voluptuary
luestlinge voluptuaries
luft air
luftpost air-mail
luftroehre windpipe
luftroehren windpipes
luftschlitz louvre
luftspiegelung mirage
luftspiegelungen mirages
luftstrom airflow
lufttaxen aerocabs
lufttaxi aerocab
lumpensammler ragman
lunge lung
lungen lungs
lungenentzuendung pneumonia
lupine lupin
lupinen lupins
lust delight
lustspiel comedy
luxus luxuries
mB mbyte
mInnesaenger minstrel
mSDOS msdos
macher wright
macht might
macros macros
made maggot
maden maggots
maedchen girl
maedchenzeit girlhood
maehne mane
maehnen manes
maengel deficiencies
maenner men
maennlichkeit manhood
maennlichkeiten virilities
maentel cloaks
maerchen fairy-tale
maerkte markets
maertyrer martyr
maerz mar
maessigung moderation
maessigungen temperances
maetzchen hokum
maeuse mice
magazin magazine
magen stomach
magnet lodestone
magnete lodestones
magnetismus magnetism
mahl dinner
mahlzeit meal
mahlzeiten meals
mai may
maibaeume maypoles
maibaum maypole
mais corn
majestaet majesty
makaroni macaroni
makler broker
makrele mackerel
makrelen mackerels
makro macro
makrone macaroon
makronen macaroons
maler painter
malz malt
manager manager
mandarine tangerine
mandarinen tangerines
mandat mandate
mandate mandates
mandel tonsil
mandelentzuendung quinsy
mandelentzuendungen quinsies
mandeln tonsils
mangel deficiency
manipulation manipulation
manipulationen manipulations
mann man
mannschaft team
mannschaften teams
mannschaftsfuehrer teamster
manschette sleeve
manschetten wristbands
mantel cloak
manual manual
manuale manuals
marder marten
mark marrow
marke marker
markiert tagged
markierung indentation
markierungen indentations
markt market
marktplatz marketplace
marktschreier mountebank
marmelade jam
marmor marble
marsch march
masche mesh
maschen meshes
maschine engine
maschinen machines
maschinenbau engineering
maschinerien machineries
masern measles
maske mask
masken masks
maskerade masquerade
maskeraden masquerades
maskierend masking
maskottchen mascot
mass gauge
masse metrics
masseinheit measurement
massen bulks
massiv massif
massive massifs
massnahme sanction
massnahmen sanctions
mast mast
masten masts
material material
materialien materials
mathematiker mathematician
matratze mattress
matratzen mattresses
matrix matrix
matrose sailor
matsch sludge
matte mat
matten mats
mattigkeit languor
mauer wall
mauer- mural
maultier mule
maultiere mules
maulwurfshuegel molehill
maurer bricklayer
maus mouse
maxima maximums
maximum maximum
mechaniker mechanic
mechanismus mechanism
medaillon locket
medaillons lockets
medizin medicine
meer sea
meere oceans
meeresfruechte seafood
megabyte megabyte
mehl flour
mehltau mildew
mehrheit majority
mehrheiten majorities
mehrzahl plural
meile mile
meilen miles
meilenstein cornerstone
meilensteine milestones
meineid perjury
meineide perjuries
meinung opinion
meinungen opinions
meise titmouse
meisen titmice
meissel chisel
meisterschaft championship
meisterschaften championships
meisterstueck masterpiece
meisterstuecke masterpieces
meldung message
meldungen messages
melodie melody
melodien melodies
melone melon
melonen melons
menge crowd
mengen crowds
menschenfeind misanthrope
menschenfeinde misanthropes
menschenfresser ogre
menschenfreund philanthropist
menschheit mankind
menschlichkeit humanity
mentalitaet mentality
mentalitaeten mentalities
menue menu
menues menus
menuett minuet
menuette minuets
meridian meridian
merkmale tees
messer knife
messgeraet gauge
messing brass
messstab dipstick
messungen measurements
metall metal
metalle metals
metallueberzug plating
metapher metaphor
metaphern metaphors
meteor meteor
meteore meteors
meter meter
methode method
methoden methods
metzger butcher
meuterei mutiny
meutereien mutinies
meuterer mutineer
micro- micro
microsekunde microsecond
microvolt microvolt
miene air
mienen miens
miete lease
mieter lodger
mietshaus tenement
mietwohnung flat
mikrocomputer microcomputers
mikrofon microphone
mikrofone microphones
mikroprozessor microprocessor
mikrosekunden microseconds
mikroskop microscope
mikroskope microscopes
milch milk
milchmaenner milkmen
milchmann milkman
milde clemency
milliarde billions
millimeter millimeter
millionaer millionaire
millionaere millionaires
millisekunden milliseconds
minderheit minority
minderheiten minorities
minderjaehriger minor
minderjaehrigkeit nonage
minderwertigkeit inferiority
minderwertigkeiten inferiorities
mineral mineral
mineralwasser minerals
minimum minimum
ministerien ministries
ministerium ministry
minnesaenger minstrels
minute minute
minuten minutes
minze mint
mischling hybrid
mischlinge mongrels
mischmasch hotpotch
mischung mixture
missbilligung disapprobation
missbilligungen disapprovals
missbrauch misusage
misserfolg failure
missfallen disfavor
missgeschick misadventure
misslingen miscarriage
missstaende nuisances
missstand nuisance
mist muck
mistel mistletoe
misteln mistletoes
mistgabel muckrake
mistgabeln muckrakes
miterbe coheir
miterben coheirs
mitesser blackhead
mitgefuehl sympathy
mitglied member
mitgliedschaft membership
mitgliedschaften memberships
mitleid charity
mitleit pity
mitschueler schoolfellow
mitschuld complicity
mittag midday
mittage noons
mittagessen lunch
mitte centre
mittel means
mittel- medial
mittelmeer- mediterranean
mittelsmaenner middlemen
mittelsmann middleman
mitten middles
mitternacht midnight
mittwoch wednesday
mitwirkung concurrence
mixer blender
mode fashion
modell model
modelle models
modem modem
modems modems
modistin milliner
modistinnen milliners
module module
modus mode
moebel furniture
moeglichkeit possibility
moehre carrot
moehren carrots
moench friar
moenche friars
moepse pugs
moerder assassin
moerderin murderess
moertel mortar
moewe gull
moewen gulls
molkerei dairy
moment instant
momente moments
monat month
monate monthes
mond moon
mond- lunar
monde moons
mondlicht moonlight
monitor monitor
monitore monitors
monsun monsoon
montag monday
montage assembly
montagen fittings
monteur fitter
moor fen
moore fens
moos moss
mop mop
mops pug
morast morass
mord murder
morgen acre
morgendaemmerung dawn
morgenemfang levee
morgenempfaenge levees
morphium morphia
morse morse
mosaik mosaic
mosaiken mosaics
moschee mosque
moscheen mosques
moschus musk
moskito mosquito
moskitos mosquitos
motiv motif
motor motor
motorhaube bonnet
motorradfahrer motorcyclist
motte moth
motten mothes
muecke gnat
muecken gnats
muede tired
muedigkeit weariness
muedigkeiten wearinesses
muehe trouble
muehle mill
muehlen mills
muehlstein millstone
muehlsteine millstones
mueller miller
muender mouthes
muendung orifice
muendungen orifices
muenze coin
muenzen coins
muetter mothers
muetze cap
muff muff
mull mull
multicolor multicolor
multifrequenz multifrequency
multiplikation multiplication
mund mouth
mundart idiom
mundstueck mouthpiece
munition munitions
mus mush
muschel mussel
muscheln scallops
museen museums
museum museum
musik music
musikpavillon bandstand
muskatnuesse nutmegs
muskatnuss nutmeg
muskel muscle
muskeln muscles
musse leisure
muster sample
mut audacity
mutlosigkeit chill
mutter mother
mutterschaft maternity
muttersprache mother-tongue
myrrhe myrrh
mythen myths
mythos myth
nabe hub
nabel navel
nachahmung imitation
nachahmungen imitations
nachbar neighbor
nachbarn neighbors
nachbarschaft neighborhood
nachbarschaften vicinities
nachbildung emulation
nachdruck emphasis
nacherwaermung reheat
nachforschung search
nachkomme descendant
nachkommen descendants
nachlaessigkeit negligence
nachlaessigkeiten negligences
nachlass bequest
nachmittag afternoon
nachname surname
nachnamen surnames
nachricht news
nachrichten newscast
nachsicht charities
nacht night
nachteil disadvantage
nachteile disadvantages
nachteinbruch nightfall
nachthemd nighties
nachtigall nightingale
nachtigallen nightingales
nachtisch dessert
nachtmuetze nightcap
nachtmuetzen nightcaps
nachtwache vigil
nachtwachen vigils
nachwirkung aftermath
nachwirkungen aftermathes
nachwort epilogue
nacken neck
nacktheit nakedness
nadel needle
nadelbaeume conifers
nadelbaum conifer
nadeln needles
naechte nights
naegel nails
naehe nearness
naeherin seamstress
naeherinnen seamstresses
naehmaschine sewing-machine
naehrmittel nutriments
nagel nail
nagetiere rodents
nahrung nourishment
naht seam
name name
namen names
namensvetter namesake
namensvettern namesakes
narbe scar
narben scars
narkose narcosis
narr fool
narzisse daffodil
narzissen daffodils
nase nose
nasen noses
nasenloch nostril
nasenloecher nostrils
nasenstueber fillip
nation nation
nationalitaet nationality
nationalitaeten nationalities
natter viper
nattern vipers
natuerlichkeit naturalness
natuerlichkeiten naturalnesses
natur nature
naturalist naturalist
naturalisten naturalists
navigation navigation
nebel fog
neben beneath
neben- auxiliary
nebeneinkuenfte perquisites
nebengebaeude outbuilding
nebenhandlung underplot
nebenhandlungen underplots
neffe nephew
neffen nephews
neger blackamoors
negerin negress
negerinnen negresses
neid envy
neigung aptitude
neigungen aptitudes
neopren neoprene
nerv nerve
nervositaet flurry
nervositaeten nervousnesses
nerz mink
nerze minks
nessel nettle
nesseln nettles
nest nest
nettigkeit neatness
netz net
netze nets
netzwerke networks
neuanpassung readjustment
neuanpassungen readjustments
neubooten rebooting
neudefinition redefinition
neuerung denouement
neuerungen innovations
neugierde curiosity
neuheit novelty
neuheiten novelties
neuigkeiten news
neuinstallation reinstalling
neuling greenhorn
neulinge novices
neurose neurosis
neutralitaet neutrality
neutrum neuter
nichtachtung disrespect
nichte niece
nichten nieces
nichtigkeit nullity
nichtigkeiten nullities
nichtraucher nonsmoker
nichtsein nonentities
nichtssein nonentity
nickel nickel
niederlage defeat
niederlagen discomfitures
nippel nipple
nische alcove
nischen alcoves
niveau level
nixe mermaid
nixen mermaids
nocken cam
nockenwelle camshaft
noete hardships
nonnenkloster nunneries
nord north
norden north
not hardship
not- emergency
notar notary
notare notaries
notbefelf makeshift
notbehelfe makeshifts
notizblaetter notepads
notizblatt notepad
notizbuch note-book
notizbuecher notebooks
notizen notices
notizpapier notepaper
notlager shakedown
notwendigkeit necessary
notwendigkeiten necessities
november november
nudel noodle
nudeln noodles
nuechternheit soberness
nuesse nuts
nuetzlichkeit usefulness
null null
nullast no-load
nummer number
nummerierung numeration
nummerierungen numerations
nummern numbers
nuss nut
nussknacker nutcracker
nussschale nutshell
nussschalen nutshells
nut groove
nutte slut
nutten sluts
nutzanwendungen utilizations
nutzbarkeit usability
nutzbarmachung utilization
nutzen profit
nutzlast payload
o-Ring o-seal
oK okay
oTL otl
oase oasis
oasen oases
oberbegriff genus
oberfaechen surfaces
oberflaeche surface
obergrenze ceiling
oberleitungsfahrzeug trolleys
oberlicht skylight
oberteil entablature
objekte objects
obligation bond
obst fruit
obstgarten orchard
obstkuchen fruitcakes
ochse bullock
ochsen oxen
ochsenschwanz oxtail
oefen ovens
oeffner opener
oeffnung aperture
oeffnungen apertures
oel oil
oelkanal oilway
oertlichkeit locality
oertlichkeiten localities
ofen oven
offenbarung disclosure
offenbarungen revelations
offenheit frankness
oh, ohm
ohantome phantoms
ohm ohms
ohnmacht swoon
ohr ear
oktober oct
olive olive
oliven olives
oma granny
onkel uncle
oper opera
operand operand
operanden operands
opern operas
opfer sacrifice
optiker optician
optimierer optimizer
optimierung optimization
optimierungen optimizations
optimismus optimism
optimum optimum
optional optionally
optionen options
orange orange
orchidee orchid
orden medal
ordner formatters
ordnungs- ordinal
organisation organization
organisationen organizations
orgel organ
orgeln organs
orgie orgy
orgien orgies
orientierung orientation
originalitaet originality
ort place
osten east
ostern easter
oszilator oscillator
otter otter
ottern otters
ovale ovals
overlay overlay
oxydation oxidation
ozean ocean
ozon ozone
pGDN pgdn
pGUP pgup
paar couple
paare pairs
pachtzins rent
packend packing
packer packer
packungen packages
paddelboot canoe
paddelboote canoes
paechter tenant
paesse passports
paket parcel
pakete packets
palette pallete
paletten palettes
pampelmuse grapefruit
panne break-down
panther panther
pantoffel clog
pantoffeln clogs
papagei parrot
papageien parrots
papier paper
papiere papers
papierstau jam
pappa dad
pappe pasteboard
paradies paradise
paradiese paradises
paragraphen paragraphs
parameter parameter
parfuem perfume
parfuems perfumes
paritaet parity
park park
partie party
partner mate
partnerschaft partnership
pascal pascal
pass passport
passage passage
passagen passages
passagier passenger
passagiere passengers
passfeder key
passstueck adaptor
passung fit
passwoerter passwords
passwort password
pasten pastes
pasteten pastries
patenkind godchild
patentloesungen nostrums
patin godmother
patrone cartridge
pause pause
pausen recesses
pavian baboon
paviane baboons
peitsche lash
pelikan pelican
pelikane pelicans
pelz fur
pelze furs
pelzjaeger trapper
pensionaer pensionary
pensionaere pensionaries
perforation perforation
perforationen perforations
pergament parchment
periode period
perioden cycles
periodisch periodically
periskop periscope
perle bead
perlen beads
perlmutt nacre
peroenlichkeiten identities
persoenlichkeit personality
persoenlichkeiten personalities
person person
personal staff
personen persons
perspektiven perspectives
peruecke periwig
peruecken periwigs
perversitaet perversity
petersilie parsley
pfad path
pfade paths
pfadfinder scout
pfadname pathname
pfadnamen pathnames
pfand mortgage
pfanne pan
pfannen pans
pfannkuchen pancakes
pfarrer parson
pfeffer pepper
pfefferminz peppermint
pfeglinge nurselings
pfeifer piper
pfeil arrow
pfeile arrows
pfennig penny
pferd horse
pferde horses
pfingsten pentecost
pfirsich peach
pfirsiche peaches
pflanze plant
pflanzung plantation
pflanzungen plantations
pflaster plaster
pflaume plum
pflaumen plums
pflaumenmus plum-jam
pflege nurture
pfleglinge nurslings
pflicht duty
pflichten duties
pflug plough
pfoertner ushers
pfote paw
pfoten paws
pfuetze puddle
pfuetzen puddles
pfund pound
phantasie fancy
phantasien fancies
phantasten visionaries
phantom phantom
phase phase
phasen phases
philosophie philosophy
philosophien philosophies
phosphor phosphor
photo photo
photograf photograph
photografien photos
photokopie photocopy
phrasen phrases
physik physics
physiker physicist
pica pica
picnic picnic
pilger pilgrim
pille pill
pillen pills
pilot pilot
piloten pilots
pilz mushroom
pinguin penguin
pinguine penguins
pins pins
pinzette tweezers
pirat pirate
pistole pistol
pistolen pistols
pistolentasche holster
pistolentaschen holsters
pixel pixel
plaetzchen cookies
plaetze sites
plakat poster
plan blueprint
planer planner
platin platinum
platte plate
platten platters
platz place
platzanweiserin usherette
platzierung placement
plauderei confabulation
plaudertasche chatterbox
plexiglas perspex
plotter plotters
pluederung pillage
pluenderung depredation
pluenderungen depredations
pluesch plush
pocken smallpox
poebel mob
poet poet
pokal goblet
pokale goblets
politik politics
politur polish
polizei police
polizist bobby
polizisten bobbies
portier janitor
portiers janitors
portion serving
portionen servings
porto postage
portrait portrait
portraits portraits
ports ports
porzellan porcelain
posaune trombone
posaunen trombones
position position
positionen positions
post mailing
poster poster
postkarte postcard
postkarten postcards
postkasten mailbox
potpourri medly
potpourries medlies
pracht magnificence
praemie bonus
praemien premiums
praesentation presentation
praesident president
praezedenzfall precedent
praezision precision
praktiken practices
pranger pillory
praxis practice
prediger preacher
predigt sermon
predigten sermons
preis fee
preise prices
preisgestaltung pricing
preisliste price-list
preisrichter jury
preisselbeeren cranberries
presse press
priester priest
primel primrose
primeln primroses
prinz prince
prinzip principle
prisma prism
pritsche slapstick
pritschen slapsticks
probe probe
problem problem
probleme problems
produkt product
produkte products
produktion production
produktivitaet productivity
profil profile
programm program
programme programs
programmierer programmer
projektor projector
prolog prolog
promenade boardwalk
prophet seer
propheten seers
prophezeiung augury
prophezeiungen auguries
prospekt prospectus
protokoll protocol
protokolle protocols
proviant provisions
prozedur procedure
prozeduren procedures
prozent percent
prozentrechnen percentages
prozess litigation
prozesse litigations
prozessor processor
prozessoren processors
prtSc printscreen
pruefstein touchstone
pruefsteine touchstones
pruefung examination
pruefungen examinations
publikationen publications
publikum audience
pudel poodle
puder powder
puenktchen jot
puenktlichkeit punctuality
puff buffet
puffer buffer
pufferinhalt queue
pult console
pulver powder
pumpe pump
punkt dot
punkte points
pupille pupil
puppe doll
puppen dollies
putzfrau charwoman
putzfrauen charwomen
pyramide pyramid
pyramiden pyramids
quacksalberei quackery
quacksalbereien quackeries
quadrant quadrant
quadrat square
qual agony
qualen agonies
qualitaet quality
qualitaeten qualities
qualm fume
quarantaene quarantine
quarkspeise junket
quartett quartet
quartette quartets
quartiermeister quartermaster
quast tassel
quaste tassels
quatsch nonsense
quecksilber mercury
quellen sources
quellgebiete headwaters
querschnitt cross-section
querstrasse cross-road
querstrich slash
quitte quince
quitten quinces
quittung quittance
quittungen quittances
quiz quiz
quote quote
quotient quotient
rEADONLY readonly
rabatt rebate
rabatte rebates
rabbiner rabbis
rabe raven
raben ravens
rache revenge
racker varmint
rad wheel
radar radar
radiergummi eraser
radio radio
radius radius
raedelsfuehrer ringleader
raeder wheels
raender boarders
raetsel enigma
raeuber robber
raeuberei robbery
raeubereien robberies
raeumungen removals
rahmen frame
rakete rocket
raketen rockets
ram ram
ramdisk ramdisk
ramdisks ramdisks
rampe ramp
rampen ramps
rampenlicht footlights
rand boarder
randalierer rioter
range romp
rangen romps
ranke tendril
ranken tendrils
raritaeten curiosities
rasen lawn
rasereien furies
rasierapparat razor
rasierapparate razors
rasieren shave
rasse race
raster graticule
rasterung grating
rasuren shavings
rat advice
raten rates
ratgeber adviser
rathaeuser guildhalls
rathaus guildhall
ratschlag advice
ratte rat
ratten rats
raub rape
rauch reek
raucher smoker
rauheit roughness
rauhheit acerbity
raum room
raupe caterpillar
raupen caterpillars
rausch intoxication
rauschgift drug
rauten lozenges
rautenzeichen hash
rautezeichen lozenge
reaktion reaction
reaktionen reactions
realisierung implementation
realismus realism
realitaeten realities
rebell rebel
rebellen rebels
rechner calculator
rechnung account
rechnungen bills
rechte rights
rechteck rectangle
rechtecke rectangles
rechtfertigung vindication
rechtfertigungen justifications
rechtmaessigkeit legitimacy
rechtsanwaelte barristers
rechtsanwalt barrister
rechtsprechung jurisdiction
rede monologue
redegewandtheit volubility
redegewandtheiten volubilities
redekuenste elocutions
redekunst oratory
reden monologues
